Open,High,Low,Volume,Close
20436.59961,20751.30078,20260.80078,367800,20670.85938
20440.40039,21348.15039,20393.65039,400600,21089.95313
21589.19922,21967,21353.65039,471500,21534.25
20514.75,20530.44922,19643.59961,328800,19743.52148
20147.30078,20223.15039,19212.34961,381300,19271.52539
19302.44922,19806.59961,18941,395600,19694.32227
19536.05078,19757.25,19332.15039,300100,19491.57422
19610.44922,19733.40039,18900.90039,342600,18950.2793
18751.40039,18993.40039,18287,395400,18862.63086
20017.75,20122.25,19429.90039,520800,19634.7207
19197.69922,19380.09961,19024.75,333000,19068.2793
19098.80078,19119.09961,18683.65039,240600,18833.73047
18795.09961,18795.09961,17514.19922,434800,17572.99414
18037.15039,18175.30078,17390.65039,415500,17486.04688
17486.5,18002.65039,17407.69922,326200,17839.99219
17901.94922,18200.69922,17658.55078,347600,17734.89258
17554.25,17952.25,17105,484800,17278.69922
17537.65039,17681.69922,17311.25,336800,17440.14648
17603.40039,18874.25,17560.34961,538000,18710.33398
18924.44922,19455.55078,18818.94922,561100,19169.57813
18962,19358.05078,18729.90039,581700,19297.02539
19728.90039,20225.34961,19632.90039,558100,19959.66797
20120.59961,20615.75,19852.55078,448300,20529.96094
20966.59961,21619.55078,20822,616900,20940.45508
20932.34961,21141.80078,20316.19922,587900,20390.21289
20516.40039,21198.69922,20425.05078,637400,21034.25586
21636.09961,21807.40039,20911.25,748100,21187.10352
21295.5,21568.84961,20629.69922,641200,20724.66016
20760.94922,21251.44922,20671.55078,583000,21099.85352
21084.69922,21244.44922,20458.30078,747100,20524.91211
19529.30078,20747.69922,19526.09961,599200,20654.31055
21491.55078,22078.25,21425.55078,664600,21708.09766
21859.25,22322.30078,21647.80078,527900,22264.64258
22479.34961,22479.55078,21336.34961,684600,21426.55078
21218.05078,21703.5,20926.44922,586200,21505.90039
21735.05078,21784.65039,21320.09961,375600,21591.80078
21291.55078,21440.05078,21026.44922,328000,21358.75195
21524.30078,21650.5,21212,292700,21369.90234
21354.09961,22061.59961,21281.84961,386000,21977.34375
22133.80078,22344.84961,21890.5,399000,21952.94336
22101.75,22130.30078,21768,256200,21852.14648
22270.94922,22399.25,22171.05078,290900,22198.69141
22254.30078,22674.5,22040.34961,455800,22627.73633
22700.90039,23080.59961,22499.5,673100,22584.38867
22753.15039,22998.30078,22673.40039,356000,22906.93359
22720.94922,22835.19922,22320.05078,457100,22398.18945
22613.25,22657.40039,21981.65039,293700,22088.99414
21877.59961,21909.69922,21222.44922,338500,21391.95117
21634.25,21935.5,21230.55078,359100,21340.50195
21453.25,21671.25,21027.84961,348600,21596.89844
21608.05078,22065,21550.80078,294900,21966.54492
22307.30078,22520.44922,22187.80078,349700,22321.58984
22639.84961,22861.90039,22597.94922,316700,22781.73438
23159,23211.34961,22658.19922,412700,22882.33398
22854.84961,23122.34961,22734.90039,307600,23083.63281
22853.19922,22854.05078,22417.19922,436300,22661.78711
22664.59961,22668.05078,21801.34961,340900,21848.49609
21940.15039,22233,21611.40039,379800,22104.94141
22075,22346.40039,21906.34961,400400,22076.34375
22195.05078,22252.59961,21580.15039,299600,21646.59766
21730.55078,21806.94922,21375,397300,21639.79883
21543.80078,21543.80078,21031.44922,431000,21071.85547
21686.84961,21936.5,21448.40039,338800,21509.69922
21644.25,21926.55078,21370.30078,386600,21642.34766
21620.25,21787.25,21451.30078,378600,21753.74805
21824.90039,22071.94922,21795.09961,261800,21899.99609
22050.19922,22277.59961,22039.84961,377900,22226.94141
22135.94922,22326.55078,21990.19922,507500,22263.74219
22395.19922,22439.94922,22139.59961,289100,22196.0918
22334.94922,22334.94922,21459.09961,318800,21679.14844
21906.94922,21909.40039,21403.15039,263400,21700.59766
23036.25,23109.09961,22716.25,245300,22944.7832
29370.40039,29623,28923.09961,369400,29549.40625
30735.15039,30845.80078,30624.25,269000,30745.54297
30805.40039,30805.84961,30345.75,279400,30690.69336
32275.15039,32441.5,31650.90039,396800,31811.38086
32082.90039,32464.94922,31863.94922,354800,32424.47266
